signal_id,phase,detector_type,date,left_axis_max,rows_written,filename,status,note
7,2,Lane-By-Lane Count,2025-10-13,100.0,24,left_turn_gap_7_phase_2_lane_by_lane_count_20251013.jpg,OK,axis_ocr=100;blue_cols=1022
7,6,Lane-By-Lane Count,2025-10-13,100.0,24,left_turn_gap_7_phase_6_lane_by_lane_count_20251013.jpg,OK,axis_ocr=100;blue_cols=825
